show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,IMDB_Rating,year_added
s1,Movie,Ricky Velez: Here's Everything,,,,2021-10-24,2021,TV-MA,,"Comedy, Stand Up",âComedian Ricky Velez bares it all with his honest lens and down to earth perspective in his first-ever HBO stand-up special.,6.5,2021
s2,Movie,Silent Night,,,,2021-10-23,2020,,94 min,"Crime, Drama, Thriller","Mark, a low end South London hitman recently released from prison, tries to go straight for his daughter, but gets drawn back in by Alan, his former cellmate, to do one final job.",5.3,2021
s3,Movie,The Marksman,,,,2021-10-23,2021,PG-13,108 min,"Action, Thriller",A hardened Arizona rancher tries to protect an 11-year-old migrant boy fleeing from a ruthless drug cartel.,5.7,2021
s4,Movie,Gaia,,,,2021-10-22,2021,R,97 min,Horror,A forest ranger and two survivalists with a cultish devotion to the forest face the threat of an unrelenting wilderness when a strange being attacks one night.,5.6,2021
s5,Movie,Settlers,,,,2021-10-22,2021,,104 min,"Science Fiction, Thriller",Mankind's earliest settlers on the Martian frontier do what they must to survive the cosmic elements and each other in this science-fiction thrill ride.,4.8,2021
s7,Movie,The Evil Next Door,,,,2021-10-21,2020,,88 min,"Horror, Thriller","New to her role as a stepmom, a young woman moves into a duplex with her partner and his five-year-old son Lucas. Soon, strange noises start coming from the empty house adjoining theirs. Also, who is Lucasâs new friend?",5.7,2021
s8,TV Show,The Next Thing You Eat,,,,2021-10-21,2021,,1 Season,"Cooking & Food, Documentaries, Lifestyle & Culture","With the unique insights and experience of Ugly Delicious creators Morgan Neville and David Chang take a tangy look at food and our relationship to it past, present and future. Why do we eat what we eat and are we missing something better? What will we be eating in the future and why?",7.1,2021
s9,TV Show,Queens,,,,2021-10-20,2021,TV-14,1 Season,"Drama, Music",Four women in their 40s reunite for a chance to recapture their fame and regain the swagger they had as legends in the 1990s hip-hop world.,7.1,2021
s10,TV Show,The Bachelorette,,,United States,2021-10-20,2003,TV-14,3 Seasons,"Reality, Romance","ABC's romance reality show lets one lucky lady narrow the field of bachelors, leaving only her dream man.",3.5,2021
s11,TV Show,The Real Queens of Hip-Hop: The Women Who Changed the Game,,,,2021-10-19,2021,,1 Season,"Music, News",The ABC News special explores the inspiring rise of women in hip-hop and is narrated by Cheryl âSaltâ James of Salt-N-Pepa.,5.6,2021
s12,Movie,Dream Horse,,,,2021-10-18,2020,PG,113 min,"Comedy, Drama",The film tells the inspiring true story of a small town bartender who decides to breed a racehorse. The community chips in their small earnings and the investment pays off as he becomes a beacon of hope in their struggling town.,6.9,2021
s13,Movie,Out of the Shadows: The Man Behind the Steele Dossier,,,,2021-10-18,2021,,,News,George Stephanopoulos sits down with former MI6 spy Christopher Steele for a worldwide exclusive interview; marking his first interview since the publication of the series of intelligence reports now known as the Steele dossier.,5.5,2021
s14,TV Show,Wakefield,,,,2021-10-18,2021,,1 Season,"Drama, Mystery","With a gift for soothing the afflicted and reaching the unreachable, brilliant psychiatric nurse Nik Katira is the most stable person at Wakefield mental health unit in the picturesque Blue Mountains of Australia. But as his own sanity suddenly starts to slip, he finds himself questioning the line between reality and madness.",6.3,2021
s15,TV Show,Home Sweet Home,,,,2021-10-16,2021,TV-PG,1 Season,Reality,"Real families of different backgrounds experience a new way of life when they trade homes, stepping out of their comfort zones to discover each other's similarities and celebrate their differences, created by executive producer Ava DuVernay.",7.3,2021
s18,TV Show,America's Book of Secrets,,,United States,2021-10-15,2012,TV-14,1 Season,"Documentaries, History","America's story can be told in many ways. While much of the history of our country is well documented and widely available, there is another deeper history one that has been shrouded in secrecy and hidden from public view; these are the stories we will reveal.",6.7,2021
s19,TV Show,Beyond Oak Island,,,,2021-10-15,2020,TV-PG,1 Season,"History, Reality","From pirates such as Blackbeard and outlaws like Jesse James, to Aztec gold, priceless historical artifacts from American history and sunken treasure ships, âBeyond Oak Islandâ digs deep into the many treasure quests across the globe.",6.3,2021
s20,TV Show,Beyond Scared Straight,,,United States,2021-10-15,2011,TV-14,6 Seasons,"Documentaries, Reality, Teen","Beyond Scared Straight profiles the new approach to keeping today's teens from becoming tomorrow's prisoners. The power of the original Scared Straight! program has inspired dozens of inmate-run intervention programs in men's and women's prisons across the country. These youthful offender programs put boys and girls of all ethnicities and backgrounds, ranging in age from 11-18, into intensive one-day in-prison sessions that show them the realities of life behind bars.",7.3,2021
s21,Movie,Cheer Camp Killer,,,,2021-10-15,2020,TV-14,87 min,Thriller,"Camp queen bee Victoria does not take kindly to a newcomer like Sophia taking her spotlight, so she launches a dangerous plan to get her rival out of the way.",4.7,2021
s22,TV Show,Hoarders,,,United States,2021-10-15,2009,TV-PG,7 Seasons,"Health & Wellness, Lifestyle & Culture, Reality",Each 60-minute episode of Hoarders is a fascinating look inside the lives of two different people whose inability to part with their belongings is so out of control that they are on the verge of a personal crisis.,6.5,2021
